Siruta,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
54412,Turnu Ruieni,0.0,0.0,279.8810686584315,0.0,0.0,0.0,0.0,0.0,0.0
160911,Murighiol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103568,Gurbanesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62609,Pantelimon,70.61162411732754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144535,Cartisoara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152724,Didesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.1005770816158,0.0
79004,Balteni,69.80841121495327,0.0,0.7571391484942886,0.0,0.0,0.0,0.0,21.31217549325026,0.0
169119,Caineni,0.0,0.0,94.10023866348449,0.0,0.0,0.0,0.0,0.0,0.0
95391,Municipiul Pascani,7296.132125486942,3082.004126040154,183.02613927114308,0.0,1700.4978217274047,917.0665698545513,350.45513219463845,33.93446741811309,184.0454555932047
21668,Buhoci,28.118250435455778,0.0,800.0106444745501,0.0,0.0,23.85233210760596,0.0,0.0,0.0
111783,Garla Mare,728.1450991189428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119974,Valea Larga,5.028086218158067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46251,Cilibia,0.0,0.0,22.006386375731772,0.0,0.0,0.0,0.0,0.0,0.0
144553,Darlos,170.02523836231072,526.6696578799775,0.0,0.0,0.0,0.0,0.0,14.312675266404936,0.0
38063,Mihai Eminescu,1274.077401345007,75.08374571754854,25.491054434716407,0.0,0.0,651.2880345133866,0.0,92.32533942393097,-0.12841010024108615
13490,Municipiul Campulung,1677.323203896631,321.9329995941009,347.2283046948992,1629.9486131781896,0.0,2566.6291976728453,125.94276823163307,19.99328913543499,80.98343931808957
87219,Oras Aninoasa,40.09004839049022,0.0,0.0,0.0,0.0,0.0,0.0,637.3330528087523,0.0
128178,Parscoveni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152760,Dobrotesti,280.2722772277228,0.0,2.7554005400540054,0.0,0.0,0.0,0.0,0.0,0.0
5309,Lunca Muresului,266.30901960784314,0.0,30.98941176470588,0.0,0.0,0.0,0.0,30.786666666666665,0.0
177352,Pufesti,130.49744779582366,400.1881670533643,0.0,0.0,0.0,0.0,0.0,422.0626450116009,0.0
111818,Godeanu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29902,Lugasu De Jos,1053.1081303038598,0.0,94.23980290172462,0.0,0.0,0.0,0.0,0.0,0.0
87246,Banita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62672,Pecineaga,0.9622586307782329,0.0,0.0,0.0,0.0,173.84903452311292,0.0,1.978349912229374,0.0
13524,Valea Mare Pravat,20.094670406732117,0.0,137.25198690977092,0.0,0.0,44.626460963066855,0.0,20.66503038803179,0.0
54485,Valiug,5.426527958387516,0.0,102.42132639791937,0.0,0.0,0.0,0.0,0.0,0.0
144599,Gura Raului,0.0,39.434922335297266,235.15666845206212,0.0,0.0,0.0,0.0,0.0,0.0
103639,Hotarele,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5336,Lupsa,225.04505356017643,0.0,100.63547574039067,0.0,0.0,0.0,0.0,6.364209199747952,0.0
21720,Casin,0.0,3.3513853904282116,2420.929974811083,0.0,0.0,0.0,0.0,0.0,0.0
128221,Plesoiu,10.931626928471248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169182,Copaceni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70879,Oras Bechet,0.0,18.185848839880542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152797,Dracsenei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160993,Nalbant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.29068541300526
54500,Varadia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79077,Bolbosi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144615,Hoghilag,0.0,0.0,33.92301358583779,0.0,0.0,0.0,0.0,0.0,0.0
46313,Cislau,246.41486910994763,577.189947643979,91.06848167539268,0.0,0.0,0.0,0.0,0.0,0.0
95471,Oras Targu Frumos,585.4529568971425,382.2761598026451,2.22037963407113,0.0,0.0,0.0,0.0,10.323990954567257,0.0
70897,Bistret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62707,Pestera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111863,Gogosu,0.0,0.0,114.51370510396976,0.0,0.0,0.0,0.0,0.0,0.0
87291,Municipiul Brad,1270.9154797013239,4291.800527075359,863.3805609587752,0.0,0.0,1223.823429754659,21.826441613854552,144.50705904498966,641.5361736838803
29948,Lunca,12.153790087463557,380.8822886297376,1784.33527696793,0.0,0.0,0.0,0.0,216.2671282798834,2836.252551020408
